element,subelement,rarnum,season_id,name,s,f,state,conc,mapping_qu,g_source,s_source,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,nesting,migrating,molting,hatching,spawning,eggs,larvae,juveniles,adults,mating,calving,pupping,internesti
BIRD,shorebird,281,0,Wilson's plover,,,,10 ADULTS,NESTING,409,412,,,X,X,X,X,X,,,,,,MAR-JUL,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,281,0,Wilson's plover,,,,10S,VULNERABLE OCCURRENCE,418,413,X,X,X,X,X,X,X,X,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,282,0,Wilson's plover,,,,30 ADULTS,NESTING,409,412,,,X,X,X,X,X,,,,,,MAR-JUL,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,wading,33,0,Clapper rail,,,,HIGH,GENERAL DISTRIBUTION,406,406,X,X,X,X,X,,,,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,wading,33,0,Clapper rail,,,,HIGH,NESTING,406,406,,,X,X,X,X,X,X,X,,,,MAR-SEP,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,73,0,Blue-winged teal,,,,100S,WINTERING,402,401,X,X,X,X,X,,,,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,73,0,Dabbling ducks,,,,10S,GENERAL DISTRIBUTION,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,73,0,Diving ducks,,,,10S,GENERAL DISTRIBUTION,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,73,0,Gadwall,,,,100S,WINTERING,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,73,0,Green-winged teal,,,,100S,WINTERING,402,401,X,X,X,X,X,,,,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,73,0,Mergansers,,,,100S,WINTERING,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,73,0,Mottled duck,,,,POSSIBLE,NESTING,402,401,,X,X,X,X,X,X,X,X,X,,,FEB-JUN,-,JUL-AUG,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,73,0,Scaup,,,,100S,WINTERING,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,74,0,Diving ducks,,,,100S,RAFTING,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,74,0,Mottled duck,,,,10S,GENERAL DISTRIBUTION,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,74,0,Scoters,,,,100S,RAFTING,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,75,0,Blue-winged teal,,,,100S,WINTERING,402,401,X,X,X,X,X,,,,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,75,0,Dabbling ducks,,,,10S,GENERAL DISTRIBUTION,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,75,0,Diving ducks,,,,100S,WINTERING,402,401,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,waterfowl,75,0,Green-winged teal,,,,100S,WINTERING,402,401,X,X,X,X,X,,,,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
